"","created_by_factor","category_factor","symptom_error_code_factor","product_factor","sub_product_factor","package_name_factor","cause_category_factor","cause_code_factor","resolution_code_factor","closure_category_factor","resolution_team_factor","service_affected_factor","btu_type_factor","owner_factor","group_owner_factor","btu_platform_factor","dp_location_factor","closed_by_factor","fdp_device_name_factor","fdp_site_name_factor","olt_site_name_factor","exchange_factor","zone_name_factor","district_factor","state_factor","region_factor"
"73",14,2,15,4,8,6,3,18,1,4,10,1,3,25,1,3,2,26,66,66,24,2,1,1,1,1
"74",44,1,11,4,14,7,3,4,1,4,12,1,2,51,2,2,4,51,60,60,18,2,1,1,1,1
"75",23,1,11,4,9,7,8,26,26,4,10,4,2,39,6,2,3,39,8,8,1,1,1,1,1,1
"76",25,1,11,4,9,7,8,22,18,2,9,1,3,31,6,3,1,31,31,31,11,1,1,1,1,1
"77",59,1,11,4,9,7,3,3,1,2,1,8,3,31,6,3,1,31,28,28,8,1,1,1,1,1
"78",2,1,11,4,9,7,2,29,21,2,10,4,3,30,6,3,1,30,23,23,3,1,1,1,1,1
"79",61,1,11,4,9,7,3,8,1,2,8,1,3,21,6,3,2,22,71,71,29,2,1,1,1,1
"80",63,1,6,3,16,7,4,15,27,4,9,6,2,57,6,2,4,57,63,63,18,2,1,1,1,1
"81",15,2,10,4,9,7,2,28,29,5,9,4,3,46,6,3,1,46,35,35,15,1,1,1,1,1
"82",21,1,12,4,9,7,4,27,27,2,10,6,3,30,6,3,2,30,73,73,30,2,1,1,1,1
"83",15,1,2,4,9,7,5,1,9,5,9,6,3,18,6,3,2,18,32,32,12,1,1,1,1,1
"84",6,1,11,1,5,3,3,2,1,4,18,5,2,29,5,2,1,29,3,3,1,1,1,1,1,1
"85",21,2,14,4,7,5,3,7,17,4,10,1,2,11,6,2,3,11,42,42,18,2,1,1,1,1
"86",17,1,11,4,1,7,2,28,29,4,10,4,3,44,6,3,1,44,69,69,27,2,1,1,1,1
"87",13,1,11,1,5,3,5,10,5,4,10,5,2,29,5,2,2,29,16,16,1,1,1,1,1,1
