,trouble_ticket_id,Cause_code,acc,account,acct,acknowledge,active,address,addressing,advice,advise,advised
266,1-15S7TUH,Clear While Localising,0,4,1,0,1,2,1,1,0,1
267,1-15S9OW3,Clear While Localising,0,4,1,0,1,2,1,1,0,0
268,1-15S97W9,Clear While Localising,0,2,1,0,1,2,1,1,0,2
269,1-15ROUTS,Clear While Localising,0,3,1,1,1,2,1,3,3,0
270,1-15RVL3G,Clear While Localising,0,1,1,0,0,2,0,2,0,0
271,1-15RVL2J,Customer_Behaviour,0,1,1,0,1,3,1,1,0,0
272,1-15S5SJ2,Clear While Localising,0,1,1,0,1,2,1,3,0,0
273,1-15ROUS1,Planned Maintenance Work (PMW),1,2,1,0,1,3,1,0,0,0
274,1-15RY0B6,Clear While Localising,0,1,2,0,1,4,1,3,0,0
275,1-15ROUQF,Clear While Localising,1,2,1,0,1,2,1,2,0,1
276,1-15RWI84,Clear While Localising,0,4,1,0,1,2,1,1,0,1
277,1-15RVRV9,Clear While Localising,0,4,1,0,1,2,1,1,0,0
278,1-15RZY4Z,Clear While Localising,0,2,1,0,1,2,1,1,0,2
279,1-15ROUOX,TM_CPE_PG Faulty,0,3,1,1,1,2,1,3,3,0
280,1-15RRZXZ,Clear While Localising,0,1,1,0,0,2,0,2,0,0
281,1-15RTI2M,TM_CPE_STB Hang,0,1,1,0,1,3,1,1,0,0
282,1-15RWOZ7,TM_CPE_PG Faulty,0,1,1,0,1,2,1,3,0,0
283,1-15RKDAT,TM_CPE_PG Faulty,1,2,1,0,1,3,1,0,0,0
284,1-15ROUX9,EQMT_MSAN VDSL2 card faulty,0,1,2,0,1,4,1,3,0,0
285,1-15ROXE5,Clear While Localising,1,2,1,0,1,2,1,2,0,1
286,1-15RL6PC,Other_Fault,0,4,1,0,1,2,1,1,0,1
287,1-15RFQUH,Clear While Localising,0,4,1,0,1,2,1,1,0,0
288,1-15RKACI,VDSL Modem Faulty,0,2,1,0,1,2,1,1,0,2
289,1-28NBZ7Z,Clear While Localising,0,3,1,1,1,2,1,3,3,0
290,1-28NB1AP,Clear While Localising,0,1,1,0,0,2,0,2,0,0
291,1-28NES8P,TM_CPE_PG Config Problem,0,1,1,0,1,3,1,1,0,0
